time,current,voltage,soc_true
631,0.859432,4.02894,0.765179
632,0.51482,3.97058,0.765131
633,0.965179,3.99142,0.765042
634,0.338841,3.94137,0.76501
635,0.384444,4.12178,0.764975
636,0.989411,4.11375,0.764883
637,0.872995,3.86237,0.764802
638,0.762483,3.91366,0.764732
639,0.504161,3.95301,0.764685
640,0.653923,4.0247,0.764625
641,0.824213,4.03305,0.764548
642,0.342872,4.01725,0.764517
643,0.775064,3.95494,0.764445
644,0.697655,3.92972,0.76438
645,0.884925,3.89548,0.764298
646,0.343334,4.02069,0.764266
647,0.593146,3.90925,0.764212
648,0.296183,4.02428,0.764184
649,0.686961,3.84639,0.76412
650,0.74816,3.92906,0.764051
651,0.957971,4.1718,0.763963
652,0.254136,3.90569,0.763939
653,0.59193,3.82499,0.763884
654,0.525886,4.0215,0.763835
655,0.475084,3.93749,0.763791
656,0.842694,3.70574,0.763713
657,0.494109,3.89183,0.763668
658,0.941522,3.84952,0.763581
659,0.274419,4.03918,0.763555
660,0.569983,3.9196,0.763502
661,0.290667,3.98504,0.763475
662,0.349775,3.83879,0.763443
663,0.21512,3.97817,0.763423
664,0.294022,3.72611,0.763396
665,0.965791,4.05272,0.763306
666,0.623943,3.97378,0.763249
667,0.676695,4.09148,0.763186
668,0.39433,4.03963,0.76315
669,0.300887,3.96494,0.763122
670,0.711604,3.9738,0.763056
671,0.890994,3.88496,0.762973
672,0.300618,3.91108,0.762945
673,0.915919,3.89779,0.762861
674,0.753625,4.06702,0.762791
675,0.202187,3.85344,0.762772
676,0.389657,3.98024,0.762736
677,0.412618,3.9513,0.762698
678,0.346898,3.83912,0.762666
679,0.221629,3.92196,0.762645
680,0.507848,4.11505,0.762598
681,0.645054,4.13018,0.762538
682,0.9383,4.00807,0.762452
683,0.738453,3.91973,0.762383
684,0.847393,4.13992,0.762305
685,0.258937,4.03679,0.762281
686,0.801861,3.9207,0.762207
687,0.823273,3.94722,0.76213
688,0.386073,4.04183,0.762095
689,0.687647,4.1279,0.762031
690,0.374109,3.90588,0.761996
691,0.965532,3.80695,0.761907
692,0.248245,3.94594,0.761884
693,0.358949,3.8672,0.761851
694,0.594052,3.87737,0.761796
695,0.478739,4.0524,0.761751
696,0.77196,3.90001,0.76168
697,0.752846,4.09772,0.76161
698,0.782952,3.80918,0.761538
699,0.537354,3.8748,0.761488
700,0.70453,3.93484,0.761423
701,0.729422,3.88767,0.761355
702,0.428388,3.96588,0.761315
703,0.214017,3.91823,0.761296
704,0.277564,3.9813,0.76127
705,0.543332,3.96265,0.76122
706,0.25634,4.08217,0.761196
707,0.295319,3.94413,0.761169
708,0.801548,3.90478,0.761094
709,0.591238,3.84275,0.76104
710,0.986469,3.98691,0.760948
711,0.493457,4.08464,0.760903
712,0.238021,3.81758,0.76088
713,0.875068,3.91651,0.760799
714,0.462539,4.05606,0.760757
715,0.50529,3.91024,0.76071
716,0.201507,3.89013,0.760691
717,0.72467,4.14191,0.760624
718,0.210272,4.01572,0.760605
719,0.78117,3.8269,0.760532
720,0.403892,4.04026,0.760495
721,0.520119,3.99734,0.760447
722,0.308995,3.97723,0.760418
723,0.812192,4.0688,0.760343
724,0.80124,3.95383,0.760269
725,0.829581,3.87563,0.760192
726,0.83896,3.87418,0.760114
727,0.201184,3.9065,0.760096
728,0.40283,4.01744,0.760058
729,0.994724,4.07658,0.759966
730,0.94162,3.93481,0.759879
731,0.983156,4.04023,0.759788
732,0.772981,3.96265,0.759716
733,0.889447,3.84139,0.759634
734,0.359198,3.93008,0.759601
735,0.202812,3.84346,0.759582
736,0.243137,3.99624,0.75956
737,0.809522,3.90082,0.759485
738,0.368722,3.97932,0.75945
739,0.603164,3.97323,0.759395
740,0.486036,4.10408,0.75935
741,0.632809,3.95383,0.759291
742,0.981257,4.01026,0.7592
743,0.346018,3.82249,0.759168
744,0.394545,4.05109,0.759132
745,0.571467,3.93679,0.759079
746,0.209068,3.8749,0.759059
747,0.794683,3.92924,0.758986
748,0.254945,3.89032,0.758962
749,0.438421,3.89274,0.758921
750,0.284483,3.9231,0.758895
751,0.273894,4.0606,0.75887
752,0.282269,3.96617,0.758844
753,0.272377,4.1538,0.758818
754,0.716822,4.01979,0.758752
755,0.875158,4.00238,0.758671
756,0.776972,4.04602,0.758599
757,0.556228,3.97998,0.758548
758,0.707698,3.86439,0.758482
759,0.870278,3.97933,0.758401
760,0.925575,3.88122,0.758316
761,0.373988,4.00665,0.758281
762,0.438738,3.94764,0.758241
763,0.908907,3.79108,0.758156
764,0.811086,3.93161,0.758081
765,0.558803,3.98653,0.75803
766,0.72673,3.94975,0.757962
767,0.453077,3.92245,0.75792
768,0.911659,3.95942,0.757836
769,0.282659,4.00833,0.75781
770,0.993038,4.00567,0.757718
771,0.760275,3.99914,0.757647
772,0.471854,4.09853,0.757604
773,0.327894,3.90738,0.757573
774,0.441999,3.95193,0.757532
775,0.633194,4.00764,0.757474
776,0.399745,3.96839,0.757437
777,0.334582,3.85362,0.757406
778,0.607163,3.83868,0.75735
779,0.541692,4.04576,0.757299
780,0.835969,4.01501,0.757222
781,0.560239,3.87769,0.75717
782,0.72162,3.98519,0.757103
783,0.93363,4.0911,0.757017
784,0.5504,4.07142,0.756966
785,0.267617,3.99273,0.756941
786,0.560512,3.87846,0.756889
787,0.215746,4.02203,0.756869
788,0.292897,4.05385,0.756842
789,0.398223,4.09548,0.756805
790,0.503805,3.94669,0.756759
791,0.566464,3.89865,0.756706
792,0.647317,3.79512,0.756646
793,0.387694,3.93585,0.75661
794,0.320494,3.73042,0.756581
795,0.320982,3.88184,0.756551
796,0.556469,3.8807,0.756499
797,0.825562,3.67389,0.756423
798,0.854587,3.92272,0.756344
799,0.576846,3.75151,0.75629
800,0.381842,3.91756,0.756255
801,0.282235,3.90121,0.756229
802,0.835306,3.9357,0.756152
803,0.426722,3.96383,0.756112
804,0.737667,3.83671,0.756044
805,0.849582,3.78174,0.755965
806,0.465761,3.90881,0.755922
807,0.705128,4.05498,0.755857
808,0.395383,3.98982,0.75582
809,0.902926,3.85813,0.755736
810,0.523664,3.95527,0.755688
811,0.729439,3.94522,0.75562
812,0.390113,4.09259,0.755584
813,0.302072,3.79835,0.755556
814,0.460281,4.1108,0.755514
815,0.362114,4.05017,0.75548
816,0.644591,3.88961,0.75542
817,0.921691,3.96636,0.755335
818,0.414035,4.00877,0.755297
